question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
266,single,維持保全,維持保全;昇降機,昇降機設備に関する次の記述のうち、正しいものはどれか。,"","","","","",閉じ込め事故では、入居者の安全確認をしてはならない。,保守点検記録は、設備管理に全く役立たない。,閉じ込め事故が発生した場合、入居者の安全確保と関係先への連絡が重要である。,エレベーターは、設置後に点検する必要が一切ない。,3,昇降機は安全性が特に重要な設備であり、保守点検、異常時対応、記録確認が必要です。
267,single,維持保全,維持保全;昇降機,昇降機設備に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",保守点検記録を確認することは、設備管理上有用である。,保守点検記録は、設備管理に全く役立たない。,エレベーターは、安全運行のため専門業者による保守点検が重要である。,異音や振動などの異常がある場合、利用停止や専門業者への連絡を検討する。,2,昇降機は安全性が特に重要な設備であり、保守点検、異常時対応、記録確認が必要です。
268,single,維持保全,維持保全;機械式駐車場,機械式駐車場に関する次の記述のうち、正しいものはどれか。,"","","","","",機械式駐車場は、挟まれ事故などの危険があるため安全確認が重要である。,機械式駐車場は、事故の危険がないため安全確認は不要である。,操作方法は、利用者に知らせない方が安全である。,作動不良があっても、専門業者に確認してはならない。,1,機械式駐車場は事故リスクがあるため、利用者周知、異常時対応、保守点検が重要です。
269,single,維持保全,維持保全;機械式駐車場,機械式駐車場に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",操作方法や利用上の注意を利用者に周知することが望ましい。,異音や作動不良がある場合、専門業者に確認を依頼することが考えられる。,操作方法は、利用者に知らせない方が安全である。,定期的な保守点検は、事故防止や故障予防に役立つ。,3,機械式駐車場は事故リスクがあるため、利用者周知、異常時対応、保守点検が重要です。
270,single,維持保全,維持保全;機械式駐車場,機械式駐車場に関する次の記述のうち、正しいものはどれか。,"","","","","",作動不良があっても、専門業者に確認してはならない。,保守点検は、事故防止や故障予防に全く役立たない。,異音や作動不良がある場合、専門業者に確認を依頼することが考えられる。,機械式駐車場は、事故の危険がないため安全確認は不要である。,3,機械式駐車場は事故リスクがあるため、利用者周知、異常時対応、保守点検が重要です。
271,single,維持保全,維持保全;機械式駐車場,機械式駐車場に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",定期的な保守点検は、事故防止や故障予防に役立つ。,保守点検は、事故防止や故障予防に全く役立たない。,機械式駐車場は、挟まれ事故などの危険があるため安全確認が重要である。,操作方法や利用上の注意を利用者に周知することが望ましい。,2,機械式駐車場は事故リスクがあるため、利用者周知、異常時対応、保守点検が重要です。
272,single,維持保全,維持保全;換気,換気設備に関する次の記述のうち、正しいものはどれか。,"","","","","",換気設備は、室内の空気環境を保つために重要である。,換気設備は、室内環境と全く関係がない。,換気不良は、結露やカビとは一切関係がない。,給気口が完全にふさがれても、換気性能は低下しない。,1,換気設備は結露・カビ・空気環境に関わるため、目詰まり確認や使用方法の周知が大切です。
273,single,維持保全,維持保全;換気,換気設備に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",換気不良は、結露やカビの発生につながることがある。,換気扇や給気口の目詰まりは、換気性能を低下させる。,換気不良は、結露やカビとは一切関係がない。,24時間換気設備がある場合、適切な使用方法を入居者に周知することが望ましい。,3,換気設備は結露・カビ・空気環境に関わるため、目詰まり確認や使用方法の周知が大切です。
274,single,維持保全,維持保全;換気,換気設備に関する次の記述のうち、正しいものはどれか。,"","","","","",給気口が完全にふさがれても、換気性能は低下しない。,24時間換気設備の使用方法は、入居者に知らせてはならない。,換気扇や給気口の目詰まりは、換気性能を低下させる。,換気設備は、室内環境と全く関係がない。,3,換気設備は結露・カビ・空気環境に関わるため、目詰まり確認や使用方法の周知が大切です。
275,single,維持保全,維持保全;換気,換気設備に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",24時間換気設備がある場合、適切な使用方法を入居者に周知することが望ましい。,24時間換気設備の使用方法は、入居者に知らせてはならない。,換気設備は、室内の空気環境を保つために重要である。,換気不良は、結露やカビの発生につながることがある。,2,換気設備は結露・カビ・空気環境に関わるため、目詰まり確認や使用方法の周知が大切です。
276,single,維持保全,維持保全;シックハウス,シックハウス対策に関する次の記述のうち、正しいものはどれか。,"","","","","",シックハウス対策では、換気の確保が重要である。,シックハウス対策では、換気を止めることが最も重要である。,建材や家具から化学物質が発生することは絶対にない。,入居者から体調不良の相談があっても、室内環境を確認してはならない。,1,シックハウス対策では、化学物質による室内空気への影響を踏まえ、換気確保が重要です。
277,single,維持保全,維持保全;シックハウス,シックハウス対策に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",建材や家具から発生する化学物質が室内空気に影響することがある。,入居者から体調不良の相談があった場合、換気状況や室内環境を確認することが考えられる。,建材や家具から化学物質が発生することは絶対にない。,新築や改修直後は、十分な換気に配慮することが望ましい。,3,シックハウス対策では、化学物質による室内空気への影響を踏まえ、換気確保が重要です。
278,single,維持保全,維持保全;シックハウス,シックハウス対策に関する次の記述のうち、正しいものはどれか。,"","","","","",入居者から体調不良の相談があっても、室内環境を確認してはならない。,新築や改修直後は、換気に配慮する必要が全くない。,入居者から体調不良の相談があった場合、換気状況や室内環境を確認することが考えられる。,シックハウス対策では、換気を止めることが最も重要である。,3,シックハウス対策では、化学物質による室内空気への影響を踏まえ、換気確保が重要です。
279,single,維持保全,維持保全;シックハウス,シックハウス対策に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",新築や改修直後は、十分な換気に配慮することが望ましい。,新築や改修直後は、換気に配慮する必要が全くない。,シックハウス対策では、換気の確保が重要である。,建材や家具から発生する化学物質が室内空気に影響することがある。,2,シックハウス対策では、化学物質による室内空気への影響を踏まえ、換気確保が重要です。
280,single,維持保全,維持保全;結露カビ,結露・カビに関する次の記述のうち、正しいものはどれか。,"","","","","",結露は、温度差や換気不足などによって発生しやすくなる。,結露は、温度差や換気不足とは一切関係がない。,カビは、湿度や換気と全く関係なく発生する。,結露やカビの原因は、常に建物側だけにあり使用方法は一切関係しない。,1,結露・カビは、建物性能だけでなく換気・湿度・使用方法も関係するため、原因を総合的に確認します。
281,single,維持保全,維持保全;結露カビ,結露・カビに関する次の記述のうち、最も不適切なものはどれか。,"","","","","",カビの発生には、湿度、換気、清掃状況などが関係する。,結露やカビの原因は、建物側と使用方法の双方から検討する必要がある。,カビは、湿度や換気と全く関係なく発生する。,入居者に換気や除湿の必要性を周知することは、予防に役立つ。,3,結露・カビは、建物性能だけでなく換気・湿度・使用方法も関係するため、原因を総合的に確認します。
282,single,維持保全,維持保全;結露カビ,結露・カビに関する次の記述のうち、正しいものはどれか。,"","","","","",結露やカビの原因は、常に建物側だけにあり使用方法は一切関係しない。,入居者に換気や除湿を周知することは、法律上禁止されている。,結露やカビの原因は、建物側と使用方法の双方から検討する必要がある。,結露は、温度差や換気不足とは一切関係がない。,3,結露・カビは、建物性能だけでなく換気・湿度・使用方法も関係するため、原因を総合的に確認します。
283,single,維持保全,維持保全;結露カビ,結露・カビに関する次の記述のうち、最も不適切なものはどれか。,"","","","","",入居者に換気や除湿の必要性を周知することは、予防に役立つ。,入居者に換気や除湿を周知することは、法律上禁止されている。,結露は、温度差や換気不足などによって発生しやすくなる。,カビの発生には、湿度、換気、清掃状況などが関係する。,2,結露・カビは、建物性能だけでなく換気・湿度・使用方法も関係するため、原因を総合的に確認します。
284,single,維持保全,維持保全;雨漏り漏水,雨漏り・漏水に関する次の記述のうち、正しいものはどれか。,"","","","","",漏水事故では、被害拡大防止のため初動対応が重要である。,漏水事故では、被害拡大防止の初動対応は不要である。,雨漏りの原因は、必ず室内で水が出た場所だけにある。,漏水状況の記録は、原因調査に全く役立たない。,1,漏水・雨漏りでは、被害拡大防止、原因調査、記録、関係者調整が重要です。
285,single,維持保全,維持保全;雨漏り漏水,雨漏り・漏水に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",雨漏りは、屋根や外壁、防水、配管など複数の原因が考えられる。,漏水箇所の写真や発生状況を記録することは、原因調査や保険対応に役立つ。,雨漏りの原因は、必ず室内で水が出た場所だけにある。,上階からの漏水では、入居者間の調整や原因箇所の確認が必要となることがある。,3,漏水・雨漏りでは、被害拡大防止、原因調査、記録、関係者調整が重要です。
286,single,維持保全,維持保全;雨漏り漏水,雨漏り・漏水に関する次の記述のうち、正しいものはどれか。,"","","","","",漏水状況の記録は、原因調査に全く役立たない。,上階からの漏水でも、原因箇所を確認してはならない。,漏水箇所の写真や発生状況を記録することは、原因調査や保険対応に役立つ。,漏水事故では、被害拡大防止の初動対応は不要である。,3,漏水・雨漏りでは、被害拡大防止、原因調査、記録、関係者調整が重要です。
287,single,維持保全,維持保全;雨漏り漏水,雨漏り・漏水に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",上階からの漏水では、入居者間の調整や原因箇所の確認が必要となることがある。,上階からの漏水でも、原因箇所を確認してはならない。,漏水事故では、被害拡大防止のため初動対応が重要である。,雨漏りは、屋根や外壁、防水、配管など複数の原因が考えられる。,2,漏水・雨漏りでは、被害拡大防止、原因調査、記録、関係者調整が重要です。
288,single,維持保全,維持保全;清掃,共用部分の清掃に関する次の記述のうち、正しいものはどれか。,"","","","","",共用部分の清掃は、衛生環境や美観の維持に役立つ。,共用部分の清掃は、衛生環境や美観に全く関係がない。,ゴミ置場の管理不良は、悪臭や害虫とは一切関係がない。,清掃範囲や頻度は、明確にしない方が常に管理品質が安定する。,1,清掃は美観だけでなく、衛生管理、害虫予防、設備異常の発見にも関わります。
289,single,維持保全,維持保全;清掃,共用部分の清掃に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",ゴミ置場の管理不良は、悪臭や害虫発生につながることがある。,清掃範囲や頻度を明確にすることは、管理品質の安定に役立つ。,ゴミ置場の管理不良は、悪臭や害虫とは一切関係がない。,清掃時に設備の破損や異常を発見することがある。,3,清掃は美観だけでなく、衛生管理、害虫予防、設備異常の発見にも関わります。
290,single,維持保全,維持保全;清掃,共用部分の清掃に関する次の記述のうち、正しいものはどれか。,"","","","","",清掃範囲や頻度は、明確にしない方が常に管理品質が安定する。,清掃時に設備異常を見つけても、報告してはならない。,清掃範囲や頻度を明確にすることは、管理品質の安定に役立つ。,共用部分の清掃は、衛生環境や美観に全く関係がない。,3,清掃は美観だけでなく、衛生管理、害虫予防、設備異常の発見にも関わります。
291,single,維持保全,維持保全;清掃,共用部分の清掃に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",清掃時に設備の破損や異常を発見することがある。,清掃時に設備異常を見つけても、報告してはならない。,共用部分の清掃は、衛生環境や美観の維持に役立つ。,ゴミ置場の管理不良は、悪臭や害虫発生につながることがある。,2,清掃は美観だけでなく、衛生管理、害虫予防、設備異常の発見にも関わります。
292,single,維持保全,維持保全;害虫防除,害虫・ねずみ等の防除に関する次の記述のうち、正しいものはどれか。,"","","","","",害虫やねずみの発生は、衛生環境や入居者満足に影響する。,害虫やねずみの発生は、衛生環境に一切影響しない。,ゴミ置場の管理や建物の隙間は、害虫発生と全く関係がない。,防除作業は、専門業者に依頼してはならない。,1,害虫・ねずみ等の防除では、原因確認、専門対応、清掃、再発防止の周知が重要です。
293,single,維持保全,維持保全;害虫防除,害虫・ねずみ等の防除に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",発生原因として、ゴミ置場の管理や建物の隙間などを確認することがある。,防除作業では、専門業者への依頼が必要となる場合がある。,ゴミ置場の管理や建物の隙間は、害虫発生と全く関係がない。,再発防止には、清掃や入居者への注意喚起も重要である。,3,害虫・ねずみ等の防除では、原因確認、専門対応、清掃、再発防止の周知が重要です。
294,single,維持保全,維持保全;害虫防除,害虫・ねずみ等の防除に関する次の記述のうち、正しいものはどれか。,"","","","","",防除作業は、専門業者に依頼してはならない。,再発防止には、清掃や注意喚起は全く役立たない。,防除作業では、専門業者への依頼が必要となる場合がある。,害虫やねずみの発生は、衛生環境に一切影響しない。,3,害虫・ねずみ等の防除では、原因確認、専門対応、清掃、再発防止の周知が重要です。
295,single,維持保全,維持保全;害虫防除,害虫・ねずみ等の防除に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",再発防止には、清掃や入居者への注意喚起も重要である。,再発防止には、清掃や注意喚起は全く役立たない。,害虫やねずみの発生は、衛生環境や入居者満足に影響する。,発生原因として、ゴミ置場の管理や建物の隙間などを確認することがある。,2,害虫・ねずみ等の防除では、原因確認、専門対応、清掃、再発防止の周知が重要です。
296,single,維持保全,維持保全;緊急対応,緊急時対応に関する次の記述のうち、正しいものはどれか。,"","","","","",火災、地震、漏水などの緊急時には、人命安全と被害拡大防止を優先する。,緊急時には、人命安全よりも管理業者の事務処理を常に優先する。,緊急時の連絡先や対応手順は、整備してはならない。,緊急対応後の記録は、どのような場合でも作成してはならない。,1,緊急時対応では、人命安全、被害拡大防止、連絡体制、記録が重要です。
297,single,維持保全,維持保全;緊急対応,緊急時対応に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",緊急時の連絡先や対応手順を整備しておくことは重要である。,緊急対応後には、発生状況や対応内容を記録することが望ましい。,緊急時の連絡先や対応手順は、整備してはならない。,必要に応じて、消防、警察、専門業者、委託者へ連絡する。,3,緊急時対応では、人命安全、被害拡大防止、連絡体制、記録が重要です。
298,single,維持保全,維持保全;緊急対応,緊急時対応に関する次の記述のうち、正しいものはどれか。,"","","","","",緊急対応後の記録は、どのような場合でも作成してはならない。,火災時でも、消防へ連絡することは常に禁止されている。,緊急対応後には、発生状況や対応内容を記録することが望ましい。,緊急時には、人命安全よりも管理業者の事務処理を常に優先する。,3,緊急時対応では、人命安全、被害拡大防止、連絡体制、記録が重要です。
299,single,維持保全,維持保全;緊急対応,緊急時対応に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",必要に応じて、消防、警察、専門業者、委託者へ連絡する。,火災時でも、消防へ連絡することは常に禁止されている。,火災、地震、漏水などの緊急時には、人命安全と被害拡大防止を優先する。,緊急時の連絡先や対応手順を整備しておくことは重要である。,2,緊急時対応では、人命安全、被害拡大防止、連絡体制、記録が重要です。
300,single,維持保全,維持保全;原状回復,原状回復の基本に関する次の記述のうち、正しいものはどれか。,"","","","","",原状回復は、賃借人が借りた当時の状態に完全に戻すことを常に意味するものではない。,原状回復は、賃借人が新築同様の状態に戻す義務を常に負うことを意味する。,通常損耗や経年変化は、常に賃借人が全額負担する。,賃借人の故意・過失による損耗でも、賃借人負担となる余地はない。,1,原状回復では、通常損耗・経年変化と故意過失による損耗を区別する考え方が重要です。
301,single,維持保全,維持保全;原状回復,原状回復の基本に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",通常損耗や経年変化は、原則として賃貸人負担と整理される。,賃借人の故意・過失による損耗は、賃借人負担となることがある。,通常損耗や経年変化は、常に賃借人が全額負担する。,入退去時の物件状況確認は、原状回復トラブルの予防に役立つ。,3,原状回復では、通常損耗・経年変化と故意過失による損耗を区別する考え方が重要です。
302,single,維持保全,維持保全;原状回復,原状回復の基本に関する次の記述のうち、正しいものはどれか。,"","","","","",賃借人の故意・過失による損耗でも、賃借人負担となる余地はない。,入退去時の物件状況確認は、原状回復トラブルの予防に全く役立たない。,賃借人の故意・過失による損耗は、賃借人負担となることがある。,原状回復は、賃借人が新築同様の状態に戻す義務を常に負うことを意味する。,3,原状回復では、通常損耗・経年変化と故意過失による損耗を区別する考え方が重要です。
303,single,維持保全,維持保全;原状回復,原状回復の基本に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",入退去時の物件状況確認は、原状回復トラブルの予防に役立つ。,入退去時の物件状況確認は、原状回復トラブルの予防に全く役立たない。,原状回復は、賃借人が借りた当時の状態に完全に戻すことを常に意味するものではない。,通常損耗や経年変化は、原則として賃貸人負担と整理される。,2,原状回復では、通常損耗・経年変化と故意過失による損耗を区別する考え方が重要です。
304,single,維持保全,維持保全;原状回復特約,原状回復特約に関する次の記述のうち、正しいものはどれか。,"","","","","",通常損耗を賃借人負担とする特約は、内容が明確で賃借人が認識していることなどが問題となる。,通常損耗を賃借人負担とする特約は、どれほど不明確でも常に有効である。,原状回復特約は、賃借人に説明せず隠しておくことが望ましい。,特約の有効性は、消費者契約法などと一切関係しない。,1,原状回復特約では、内容の明確性、賃借人の認識、消費者契約法との関係などが重要です。
305,single,維持保全,維持保全;原状回復特約,原状回復特約に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",原状回復特約は、賃借人に不意打ちとならないよう具体的に説明することが重要である。,特約の有効性は、消費者契約法などとの関係でも問題となることがある。,原状回復特約は、賃借人に説明せず隠しておくことが望ましい。,原状回復条件を契約時に確認しておくことは、退去時トラブルの予防に役立つ。,3,原状回復特約では、内容の明確性、賃借人の認識、消費者契約法との関係などが重要です。
306,single,維持保全,維持保全;原状回復特約,原状回復特約に関する次の記述のうち、正しいものはどれか。,"","","","","",特約の有効性は、消費者契約法などと一切関係しない。,原状回復条件は、退去時まで一切確認してはならない。,特約の有効性は、消費者契約法などとの関係でも問題となることがある。,通常損耗を賃借人負担とする特約は、どれほど不明確でも常に有効である。,3,原状回復特約では、内容の明確性、賃借人の認識、消費者契約法との関係などが重要です。
307,single,維持保全,維持保全;原状回復特約,原状回復特約に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",原状回復条件を契約時に確認しておくことは、退去時トラブルの予防に役立つ。,原状回復条件は、退去時まで一切確認してはならない。,通常損耗を賃借人負担とする特約は、内容が明確で賃借人が認識していることなどが問題となる。,原状回復特約は、賃借人に不意打ちとならないよう具体的に説明することが重要である。,2,原状回復特約では、内容の明確性、賃借人の認識、消費者契約法との関係などが重要です。
308,single,維持保全,維持保全;入退去確認,入退去時の確認に関する次の記述のうち、正しいものはどれか。,"","","","","",入居時に室内の傷や汚れを確認しておくことは、退去時の紛争予防に役立つ。,入居時の傷や汚れは、確認すると必ず紛争になるため確認してはならない。,退去時には、損耗の原因を確認せず全額を賃借人負担にすればよい。,写真やチェックリストは、物件状況の記録には全く役立たない。,1,入退去時の確認では、写真やチェックリストにより損耗状況を残し、認識違いを防ぐことが重要です。
309,single,維持保全,維持保全;入退去確認,入退去時の確認に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",退去時には、損耗の内容、発生時期、原因を確認することが重要である。,写真やチェックリストを活用することで、物件状況を客観的に残しやすくなる。,退去時には、損耗の原因を確認せず全額を賃借人負担にすればよい。,入居者と管理業者が確認結果を共有することは、認識違いを防ぐ。,3,入退去時の確認では、写真やチェックリストにより損耗状況を残し、認識違いを防ぐことが重要です。
310,single,維持保全,維持保全;入退去確認,入退去時の確認に関する次の記述のうち、正しいものはどれか。,"","","","","",写真やチェックリストは、物件状況の記録には全く役立たない。,確認結果は、入居者と共有してはならない。,写真やチェックリストを活用することで、物件状況を客観的に残しやすくなる。,入居時の傷や汚れは、確認すると必ず紛争になるため確認してはならない。,3,入退去時の確認では、写真やチェックリストにより損耗状況を残し、認識違いを防ぐことが重要です。
311,single,維持保全,維持保全;入退去確認,入退去時の確認に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",入居者と管理業者が確認結果を共有することは、認識違いを防ぐ。,確認結果は、入居者と共有してはならない。,入居時に室内の傷や汚れを確認しておくことは、退去時の紛争予防に役立つ。,退去時には、損耗の内容、発生時期、原因を確認することが重要である。,2,入退去時の確認では、写真やチェックリストにより損耗状況を残し、認識違いを防ぐことが重要です。
312,single,金銭管理,金銭管理;家賃収納,家賃収納に関する次の記述のうち、正しいものはどれか。,"","","","","",家賃収納を管理業者が行う場合、収納方法や収納日を明確にすることが重要である。,家賃収納方法は、管理業者が入居者に知らせず毎月自由に変更してよい。,収納方法は、契約や運用ルールで整理してはならない。,収納状況を記録すると未収金管理が不可能になる。,1,家賃収納では、方法・時期・記録・入金確認を明確にして滞納管理につなげることが重要です。
313,single,金銭管理,金銭管理;家賃収納,家賃収納に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",口座振替や振込などの収納方法は、契約や運用ルールで整理しておくことが望ましい。,収納状況を記録することは、未収金管理に役立つ。,収納方法は、契約や運用ルールで整理してはならない。,入金確認の遅れは、滞納対応の遅れにつながることがある。,3,家賃収納では、方法・時期・記録・入金確認を明確にして滞納管理につなげることが重要です。
314,single,金銭管理,金銭管理;家賃収納,家賃収納に関する次の記述のうち、正しいものはどれか。,"","","","","",収納状況を記録すると未収金管理が不可能になる。,入金確認は、滞納対応と全く関係がない。,収納状況を記録することは、未収金管理に役立つ。,家賃収納方法は、管理業者が入居者に知らせず毎月自由に変更してよい。,3,家賃収納では、方法・時期・記録・入金確認を明確にして滞納管理につなげることが重要です。
315,single,金銭管理,金銭管理;家賃収納,家賃収納に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",入金確認の遅れは、滞納対応の遅れにつながることがある。,入金確認は、滞納対応と全く関係がない。,家賃収納を管理業者が行う場合、収納方法や収納日を明確にすることが重要である。,口座振替や振込などの収納方法は、契約や運用ルールで整理しておくことが望ましい。,2,家賃収納では、方法・時期・記録・入金確認を明確にして滞納管理につなげることが重要です。
316,single,金銭管理,金銭管理;送金精算,送金・精算に関する次の記述のうち、正しいものはどれか。,"","","","","",管理業者が家賃等を収納した場合、委託者への送金時期や方法を明確にする必要がある。,送金時期は、委託者に知らせず管理業者が自由に決めればよい。,送金額の内訳は、委託者に示してはならない。,管理報酬や修繕費は、根拠を示さず自由に控除してよい。,1,送金・精算では、送金時期、内訳、控除根拠、精算書の作成が重要です。
317,single,金銭管理,金銭管理;送金精算,送金・精算に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",送金額の内訳を明示することは、委託者の確認に役立つ。,管理報酬や修繕費を控除する場合、その根拠を明確にすることが重要である。,送金額の内訳は、委託者に示してはならない。,精算書を作成して保管することは、後日の確認に役立つ。,3,送金・精算では、送金時期、内訳、控除根拠、精算書の作成が重要です。
318,single,金銭管理,金銭管理;送金精算,送金・精算に関する次の記述のうち、正しいものはどれか。,"","","","","",管理報酬や修繕費は、根拠を示さず自由に控除してよい。,精算書は、作成すると必ず違法となる。,管理報酬や修繕費を控除する場合、その根拠を明確にすることが重要である。,送金時期は、委託者に知らせず管理業者が自由に決めればよい。,3,送金・精算では、送金時期、内訳、控除根拠、精算書の作成が重要です。
319,single,金銭管理,金銭管理;送金精算,送金・精算に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",精算書を作成して保管することは、後日の確認に役立つ。,精算書は、作成すると必ず違法となる。,管理業者が家賃等を収納した場合、委託者への送金時期や方法を明確にする必要がある。,送金額の内訳を明示することは、委託者の確認に役立つ。,2,送金・精算では、送金時期、内訳、控除根拠、精算書の作成が重要です。
320,single,金銭管理,金銭管理;分別管理,分別管理に関する次の記述のうち、正しいものはどれか。,"","","","","",家賃等の預り金は、管理業者の固有財産と分別して管理する必要がある。,帳簿で把握していれば、預り金を管理業者の運転資金として自由に使ってよい。,分別管理は、財産の混同防止とは全く関係がない。,敷金や共益費は、管理業者が受領した瞬間にすべて管理業者の利益となる。,1,預り金は固有財産と分別し、家賃・敷金・共益費などの性質に応じて管理します。
321,single,金銭管理,金銭管理;分別管理,分別管理に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",分別管理は、委託者に帰属する金銭と管理業者の財産の混同を防ぐ趣旨を有する。,敷金や共益費なども、管理する場合には性質に応じた管理が求められる。,分別管理は、財産の混同防止とは全く関係がない。,分別管理の方法を社内で明確にしておくことは実務上重要である。,3,預り金は固有財産と分別し、家賃・敷金・共益費などの性質に応じて管理します。
322,single,金銭管理,金銭管理;分別管理,分別管理に関する次の記述のうち、正しいものはどれか。,"","","","","",敷金や共益費は、管理業者が受領した瞬間にすべて管理業者の利益となる。,分別管理の方法は、社内で決めてはならない。,敷金や共益費なども、管理する場合には性質に応じた管理が求められる。,帳簿で把握していれば、預り金を管理業者の運転資金として自由に使ってよい。,3,預り金は固有財産と分別し、家賃・敷金・共益費などの性質に応じて管理します。
323,single,金銭管理,金銭管理;分別管理,分別管理に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",分別管理の方法を社内で明確にしておくことは実務上重要である。,分別管理の方法は、社内で決めてはならない。,家賃等の預り金は、管理業者の固有財産と分別して管理する必要がある。,分別管理は、委託者に帰属する金銭と管理業者の財産の混同を防ぐ趣旨を有する。,2,預り金は固有財産と分別し、家賃・敷金・共益費などの性質に応じて管理します。
324,single,金銭管理,金銭管理;敷金,敷金に関する次の記述のうち、正しいものはどれか。,"","","","","",敷金は、賃貸借契約上の債務を担保するために賃借人から差し入れられる金銭である。,敷金は、賃借人から管理業者への贈与金であり返還の問題は生じない。,賃貸借終了時には、未払賃料があっても敷金から控除する余地はない。,敷金精算では、控除の根拠や明細を示してはならない。,1,敷金は賃借人の債務を担保する金銭で、終了時に未払賃料等を控除して精算されます。
325,single,金銭管理,金銭管理;敷金,敷金に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",賃貸借終了時には、未払賃料や原状回復費用などを控除して返還額を精算することがある。,敷金の精算では、控除の根拠や明細を明確にすることが重要である。,賃貸借終了時には、未払賃料があっても敷金から控除する余地はない。,賃貸物件の所有権移転時には、敷金返還債務の承継が問題となることがある。,3,敷金は賃借人の債務を担保する金銭で、終了時に未払賃料等を控除して精算されます。
326,single,金銭管理,金銭管理;敷金,敷金に関する次の記述のうち、正しいものはどれか。,"","","","","",敷金精算では、控除の根拠や明細を示してはならない。,所有権移転時に敷金返還債務が問題となることは絶対にない。,敷金の精算では、控除の根拠や明細を明確にすることが重要である。,敷金は、賃借人から管理業者への贈与金であり返還の問題は生じない。,3,敷金は賃借人の債務を担保する金銭で、終了時に未払賃料等を控除して精算されます。
327,single,金銭管理,金銭管理;敷金,敷金に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",賃貸物件の所有権移転時には、敷金返還債務の承継が問題となることがある。,所有権移転時に敷金返還債務が問題となることは絶対にない。,敷金は、賃貸借契約上の債務を担保するために賃借人から差し入れられる金銭である。,賃貸借終了時には、未払賃料や原状回復費用などを控除して返還額を精算することがある。,2,敷金は賃借人の債務を担保する金銭で、終了時に未払賃料等を控除して精算されます。
328,single,金銭管理,金銭管理;共益費,共益費に関する次の記述のうち、正しいものはどれか。,"","","","","",共益費は、共用部分の維持管理等に充てられる費用として設定されることがある。,共益費は、共用部分の維持管理とは一切関係がない。,共益費の金額や支払時期は、契約で定めてはならない。,共益費は、請求や収納の方法を整理すると違法になる。,1,共益費は共用部分管理に関係する費用であり、金額・支払時期・収納方法を明確にします。
329,single,金銭管理,金銭管理;共益費,共益費に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",共益費の金額や支払時期は、賃貸借契約で明確にしておくべき事項である。,共益費を家賃と別に管理する場合、請求・収納の方法を整理することが重要である。,共益費の金額や支払時期は、契約で定めてはならない。,共益費の滞納がある場合、賃料滞納と同様に債務不履行として問題となることがある。,3,共益費は共用部分管理に関係する費用であり、金額・支払時期・収納方法を明確にします。
330,single,金銭管理,金銭管理;共益費,共益費に関する次の記述のうち、正しいものはどれか。,"","","","","",共益費は、請求や収納の方法を整理すると違法になる。,共益費の滞納は、債務不履行として問題になる余地が全くない。,共益費を家賃と別に管理する場合、請求・収納の方法を整理することが重要である。,共益費は、共用部分の維持管理とは一切関係がない。,3,共益費は共用部分管理に関係する費用であり、金額・支払時期・収納方法を明確にします。
331,single,金銭管理,金銭管理;共益費,共益費に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",共益費の滞納がある場合、賃料滞納と同様に債務不履行として問題となることがある。,共益費の滞納は、債務不履行として問題になる余地が全くない。,共益費は、共用部分の維持管理等に充てられる費用として設定されることがある。,共益費の金額や支払時期は、賃貸借契約で明確にしておくべき事項である。,2,共益費は共用部分管理に関係する費用であり、金額・支払時期・収納方法を明確にします。
